TF	Gene
BRCA1	ZSCAN5A
BRCA1	CCDC77
BRCA1	MCM6
BRCA1	RRM2
BRCA1	SKA1
BRCA1	TAF5
BRCA1	TICRR
BRCA1	TOPBP1
BRCA1	CCDC150
BRCA1	CENPP
BRCA1	PRIM1
BRCA1	SMC2
BRCA1	TDP1
BRCA1	PRPS1
BRCA1	ADIPOR1
BRCA1	E2F3
BRCA1	FTCDNL1
BRCA1	HMX2
BRCA1	LTV1
BRCA1	SF3B3
BRCA1	SGK3
BRCA1	ZNF579
BRCA1	BLM
BRCA1	NUP107
BRCA1	DNAJB2
BRCA1	GMPS
BRCA1	CENPH
BRCA1	HAUS1
BRCA1	LINC01572
BRCA1	TRAIP
BRCA1	CTDSP1
BRCA1	EGR3
BRF2	CGB5
BRF2	CHRNA10
BRF2	CSF2
BRF2	GBX1
BRF2	HOXB13
CDX1	ADGRG4
CDX1	CDX1
CDX1	ELOVL5
CDX1	PAX4
CDX1	PRAC2
CDX1	SNORA78
CDX2	ASB10
CDX2	KCNJ1
CDX2	LINC00545
CDX2	SYT2
CDX2	FBP2
CDX2	GPR3
CDX2	CDX2
CDX2	NKX2-4
CDX2	SHH
CDX2	NR2E3
CEBPA	ACTN1
CEBPA	ALK
